Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_at_Onboarding,Avg_Trans_Value,Trans_to_Limit_Ratio,Activity_Per_Relationship
0,45,M,3,High School,Married,$60K - $80K,Blue,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,41.75,27.23744672745887,0.09014261365198852,8.398320335932812
0,49,F,5,Graduate,Single,Less than $40K,Blue,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,45.333333333333336,39.12002666585861,0.15637110509070917,5.499083486085652
0,51,M,3,Graduate,Married,$80K - $120K,Blue,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,48.0,94.34528273586321,0.5520770766304632,4.998750312421894
0,40,F,4,High School,Unknown,Less than $40K,Blue,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,37.166666666666664,58.54707264636768,0.35345597541322804,6.664445184938354
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,38.25,29.141816363701295,0.17302795313232544,5.5988802239552085
0,44,M,2,Graduate,Married,$40K - $60K,Blue,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,41.0,45.33144452314487,0.2713216280993446,7.997334221926025
0,51,M,4,Unknown,Married,$120K +,Gold,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,47.166666666666664,42.90184187606851,0.03853285321205084,5.165805699050158
0,32,M,0,High School,Unknown,$60K - $80K,Silver,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,29.75,42.72103552679093,0.052886762735574334,17.991004497751124
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,34.0,56.24765634765218,0.06039727718337164,4.799040191961607
0,48,M,2,Graduate,Single,$80K - $120K,Blue,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,45.0,45.02984281741196,0.12362730579724555,5.332444592567905
0,42,M,5,Uneducated,Unknown,$120K +,Blue,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,39.416666666666664,28.594557272445897,0.17797863396878572,8.398320335932812
